doc_id,num_pages,pages_header_removed,pages_without_header_flag,signature_stamps_removed,op_codes_removed_total,ligature_chars_normalized,cover_pages_excluded
ley_32069,36,35,ninguna,1,1,411,1
ds_001_2026_ef,16,16,ninguna,1,2,0,ninguna
