timestamp,query,abstained,model_name,input_tokens,output_tokens,usd_cost,latency_seconds
2026-09-22T21:44:26,que es la subcontratacion en las contrataciones publicas,False,gpt-4o-mini,944,95,0.0001986,26.116
2026-09-22T21:44:26,cual es la capital de Francia,True,,,,,0.227
2026-09-22T21:44:28,que dice el reglamento sobre el procedimiento de seleccion,False,gpt-4o-mini,843,50,0.00015644999999999998,1.717
