dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-1227879,ocds-dgv273-seacev3-1234737,PE-CONSUCODE-35,CP-ABR-46-2026-GRA-SEDECENTRAL-1,2026-06-24T18:08:00-05:00
ocds-dgv273-seacev3-1250010,ocds-dgv273-seacev3-1225610,PE-CONSUCODE-10006,CP-ABR-3-2026-HHHO.SBS-2,2026-06-15T22:05:00-05:00
ocds-dgv273-seacev3-1242608,ocds-dgv273-seacev3-1227309,PE-CONSUCODE-369,LP-ABR-17-2026-MPCT-1,2026-06-19T20:15:00-05:00
ocds-dgv273-seacev3-1221096,ocds-dgv273-seacev3-1243882,PE-CONSUCODE-10558,LP-SM-1-2026-DRSP-DEC-OFICOM-1,2026-06-01T16:36:00-05:00
ocds-dgv273-seacev3-1226568,ocds-dgv273-seacev3-1229489,PE-CONSUCODE-10247,LP-SM-2-2026-EP/UO 0845-1,2026-06-19T02:30:00-05:00
ocds-dgv273-seacev3-1248631,ocds-dgv273-seacev3-2026-200033-9,PE-CONSUCODE-200033,CP CON-SM-1-2026-CS-MDSJB-1,2026-06-11T15:17:00-05:00
ocds-dgv273-seacev3-1247016,ocds-dgv273-seacev3-1229926,PE-CONSUCODE-1926,CP-ABR-37-2026-BCRPLIM-1,2026-06-30T22:11:00-05:00
ocds-dgv273-seacev3-1226144,ocds-dgv273-seacev3-1246723,PE-CONSUCODE-1306,LP-ABR-1-2026-MDT/CS-1,2026-06-17T13:22:00-05:00
ocds-dgv273-seacev3-1226738,ocds-dgv273-seacev3-1241655,PE-CONSUCODE-205651,LP-ABR-1-2026-ANC-PJ-1,2026-06-18T17:08:00-05:00
ocds-dgv273-seacev3-1244698,ocds-dgv273-seacev3-1229652,PE-CONSUCODE-1584,CP-ABR-24-2026-COMITE/MPP-1,2026-06-30T17:01:00-05:00
ocds-dgv273-seacev3-1240659,ocds-dgv273-seacev3-1223774,PE-CONSUCODE-200198,LP-ABR-10-2026-UNAJMA-1,2026-06-09T18:54:00-05:00
ocds-dgv273-seacev3-1249425,ocds-dgv273-seacev3-1223774,PE-CONSUCODE-200198,LP-ABR-10-2026-UNAJMA-1,2026-06-09T18:54:00-05:00
ocds-dgv273-seacev3-1236528,ocds-dgv273-seacev3-1223774,PE-CONSUCODE-200198,LP-ABR-10-2026-UNAJMA-1,2026-06-09T18:54:00-05:00
ocds-dgv273-seacev3-1229089,ocds-dgv273-seacev3-1246110,PE-CONSUCODE-10431,LP-SM-4-2026-GSRCHOTA-1,2026-06-26T14:24:00-05:00
ocds-dgv273-seacev3-1245059,ocds-dgv273-seacev3-1226783,PE-CONSUCODE-624,LP-ABR-3-2026-MDN/CS-1,2026-06-19T14:16:00-05:00
ocds-dgv273-seacev3-1223457,ocds-dgv273-seacev3-1227793,PE-CONSUCODE-1569,LP-ABR-4-2026-MPDAC-YHCA-1,2026-06-10T22:57:00-05:00
ocds-dgv273-seacev3-1247897,ocds-dgv273-seacev3-1226888,PE-CONSUCODE-10189,CP SER-SM-19-2026-MINEDU/UE 026-1,2026-06-18T20:12:00-05:00
ocds-dgv273-seacev3-1240518,ocds-dgv273-seacev3-1226858,PE-CONSUCODE-1176,LP-SM-2-2026-MDM/CS-1,2026-06-19T10:57:00-05:00
ocds-dgv273-seacev3-1227088,ocds-dgv273-seacev3-1227418,PE-CONSUCODE-201143,RES-PROC-11-2026-DPC/ACFFAA-1,2026-06-19T15:41:00-05:00
ocds-dgv273-seacev3-1248709,ocds-dgv273-seacev3-1228326,PE-CONSUCODE-201143,CP SER-SM-2-2026-DPC/ACFFAA-1,2026-06-26T16:33:00-05:00
ocds-dgv273-seacev3-1226814,ocds-dgv273-seacev3-1248263,PE-CONSUCODE-10424,LP-SM-1-2026-HRHD-1,2026-06-18T19:21:00-05:00
ocds-dgv273-seacev3-1221546,ocds-dgv273-seacev3-1244184,PE-CONSUCODE-720,SIE-SIE-1-2026-MPSP/CS-1,2026-06-08T20:05:00-05:00
ocds-dgv273-seacev3-1221985,ocds-dgv273-seacev3-1239229,PE-CONSUCODE-1300,LP-SM-1-2026-MDM/C-1,2026-06-24T20:05:00-05:00
ocds-dgv273-seacev3-1243729,ocds-dgv273-seacev3-1226990,PE-CONSUCODE-1583,LP-ABR-6-2026-CS-MDP-I-1,2026-06-18T22:27:00-05:00
ocds-dgv273-seacev3-1221959,ocds-dgv273-seacev3-1233576,PE-CONSUCODE-1203,LP-SM-1-2026-MPB/CS-1,2026-06-24T19:47:00-05:00
ocds-dgv273-seacev3-2026-307-4,ocds-dgv273-seacev3-1243296,PE-CONSUCODE-307,CP-ABR-2-2026-MPO/CS-3,2026-06-12T21:13:00-05:00
ocds-dgv273-seacev3-1246577,ocds-dgv273-seacev3-2026-2426-25,PE-CONSUCODE-2426,CP SER-SM-5-2026-ENAPU-CALLAO.-1-1,2026-06-05T17:22:00-05:00
